Human Target,GO Category,Drug(s),M. musculus,Similarity (%),G. gallus,Similarity (%),X. tropicalis,Similarity (%),X. laevis,Similarity (%),G. aculeatus,Similarity (%),D. rerio,Similarity (%),D. melanogaster,Similarity (%),D. pulex,Similarity (%),C. elegans,Similarity (%),A. thaliana,Similarity (%),C. reinhardtii,Similarity (%),D. discoideum,Similarity (%),S. cerevisiae,Similarity (%),T. thermophila,Similarity (%),E. coli,Similarity (%),S. elongatus,Similarity (%)
P10826|RARB_HUMAN Retinoic acid receptor beta - Homo sapiens,Receptor,"Adapalene(DB00210), Acitretin(DB00459), Alitretinoin(DB00523), Tazarotene(DB00799), Tamibarotene(DB04942)",ENSMUSP00000108228|Retinoic acid receptor beta (RAR-beta) (Nuclear receptor subfamily 1 group B member 2). [Source:Uniprot/SWISSPROT;Acc:P22605],98.02,ENSGALP00000036953|Retinoic acid receptor beta (RAR-beta). [Source:Uniprot/SWISSPROT;Acc:P22448],95.16,"ENSXETP00000015821|retinoic acid receptor, beta isoform 1  [Source:RefSeq_peptide;Acc:NP_000956]",86.37,gi|148229864|ref|NP_001083723| 'retinoic acid receptor alpha [Xenopus laevis]',73.16,ENSGACP00000012356|Retinoic acid receptor gamma-1 (RAR-gamma-1) (Nuclear receptor subfamily 1 group B member 3). [Source:Uniprot/SWISSPROT;Acc:P13631],69.93,ENSDARP00000049550|Retinoic acid receptor gamma (RAR-gamma) (zRAR gamma) (RAR-gamma-2). [Source:Uniprot/SWISSPROT;Acc:Q91392],70.46,"FBpp0074915 type=protein; loc=3L:complement(17946741..17948149,17948315..17949323,17952482..17952720,17962463..17962607,17986008..17986096,17991523..17992231); ID=FBpp0074915; name=Eip75B-PC; parent=FBgn0000568,FBtr0075149; dbxref=FlyBase:FBpp0074915,FlyBase_Annotation_IDs:CG8127-PC,GB_protein:AAN11687.1,GB_protein:AAN11687; MD5=c67f24efa721324a6739392dbf78f9e4; length=1199; release=r5.6; species=Dmel;",22.89,jgi|Dappu1|220366|estExt_fgenesh1_pg.C_20119,27.29,F44A6.2 CE03323 WBGene00004786 locus:sex-1 nuclear hormone receptor status:Confirmed SW:P41830 protein_id:CAA90722.1,21.91,AT5G02700.1 | Symbols:  | F-box family protein | chr5:609379-611677 REVERSE,11.49,jgi|Chlre3|193355,9.31,DDB0216970 |Protein| gene: JC2V2_0_00533 on chromosome: 2 position 1327003 to 1332436,12.79,YKR095W|nuclear pore associated protein Mlp1,13.35,"3831.m01485 TTHERM_01178680 Neurohypophysial hormones, N-terminal Domain containing protein",10.21,b0888 thioredoxin reductase (trxB) [1.6.4.5] {Escherichia coli K12-MG1655},10.55,syc2225_d probable cation efflux system protein {Synechococcus elongatus PCC 6301},10.6
P10827|THA_HUMAN Thyroid hormone receptor alpha - Homo sapiens,Receptor,"Liothyronine(DB00279), Levothyroxine(DB00451)",ENSMUSP00000068281|Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (C-erbA-alpha) (c-erbA-1). [Source:Uniprot/SWISSPROT;Acc:P63058],97.15,ENSGALP00000030526|Thyroid hormone receptor beta. [Source:Uniprot/SWISSPROT;Acc:P68306],57.55,ENSXETP00000052774|Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (C-erbA-alpha) (c-erbA-1) (EAR-7) (EAR7). [Source:Uniprot/SWISSPROT;Acc:P10827],65.8,gi|6175061|sp|P18115| 'Thyroid hormone receptor alpha-B (Nuclear receptor subfamily 1 group A member 1-B)',65.6,ENSGACP00000004944|Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (C-erbA-alpha) (c-erbA-1) (EAR-7) (EAR7). [Source:Uniprot/SWISSPROT;Acc:P10827],62.45,ENSDARP00000000160|Thyroid hormone receptor alpha 1. [Source:Uniprot/SWISSPROT;Acc:Q98867],60.69,"FBpp0085352 type=protein; loc=2R:complement(1980093..1981238,1981302..1981454,1981515..1981658,1982062..1982576,2010387..2011065); ID=FBpp0085352; name=EcR-PB; parent=FBgn0000546,FBtr0086011; dbxref=FlyBase:FBpp0085352,FlyBase_Annotation_IDs:CG1765-PB,GB_protein:AAF57280.2,GB_protein:AAF57280; MD5=d1ea95a63b55383007a3bcc8102370d0; length=878; release=r5.6; species=Dmel;",23.02,jgi|Dappu1|319648|NCBI_GNO_3000129,22.4,C07A12.3a CE30855 WBGene00003628 locus:nhr-35 zinc finger protein status:Partially_confirmed SW:Q17771 protein_id:AAK39150.3,19.85,AT3G10030.1 | Symbols:  | aspartate/glutamate/uridylate kinase family protein | chr3:3092282-3094836 REVERSE,11.38,jgi|Chlre3|123204,8.11,DDB0233170 |Protein| gene: sf3b2 on chromosome: 4 position 2068357 to 2070234,12.72,YPR105C|golgi transport complex,9.73,19.m00253 TTHERM_00224520 hypothetical protein,11.42,b3974 pantothenate kinase (coaA) [2.7.1.33] {Escherichia coli K12-MG1655},10,syc0913_c DNA mismatch repair protein MutS (mutS) {Synechococcus elongatus PCC 6301},11.86
P10828|THB_HUMAN Thyroid hormone receptor beta - Homo sapiens,Receptor,"Liothyronine(DB00279), Levothyroxine(DB00451)",ENSMUSP00000089053|Thyroid hormone receptor beta-1 (Nuclear receptor subfamily 1 group A member 2). [Source:Uniprot/SWISSPROT;Acc:P37242],96.53,ENSGALP00000018402|Thyroid hormone receptor beta. [Source:Uniprot/SWISSPROT;Acc:P68306],78.74,ENSXETP00000008403|Thyroid hormone receptor beta-1 (Nuclear receptor subfamily 1 group A member 2). [Source:Uniprot/SWISSPROT;Acc:P10828],74.84,gi|213981|gb|AAA49658| 'thyroid hormone receptor beta B2 protein',75.49,ENSGACP00000010586,68.29,ENSDARP00000011840|Thyroid hormone receptor beta. [Source:Uniprot/SWISSPROT;Acc:Q9PVE4],75.49,"FBpp0074915 type=protein; loc=3L:complement(17946741..17948149,17948315..17949323,17952482..17952720,17962463..17962607,17986008..17986096,17991523..17992231); ID=FBpp0074915; name=Eip75B-PC; parent=FBgn0000568,FBtr0075149; dbxref=FlyBase:FBpp0074915,FlyBase_Annotation_IDs:CG8127-PC,GB_protein:AAN11687.1,GB_protein:AAN11687; MD5=c67f24efa721324a6739392dbf78f9e4; length=1199; release=r5.6; species=Dmel;",22.18,jgi|Dappu1|301472|PASA_GEN_13500002,26.41,"T23H4.2 CE32501 WBGene00003659 locus:nhr-69 Ligand-binding domain of nuclear hormone receptors, Zinc finger, C4 type (two domains) status:Confirmed SW:P91829 protein_id:CAB05815.2",17.53,"AT2G42620.1 | Symbols: ORE9, MAX2 | MAX2 (MORE AXILLARY BRANCHES 2); ubiquitin-protein ligase | chr2:17763247-17765328 FORWARD",12.61,No Hit,0,DDB0233607 |Protein| gene: geneDDB0233607 on chromosome: 6 position 558877 to 560367,10.34,YBR192W|mitochondrial carrier family,9.76,235.m00036 TTHERM_01104930 hypothetical protein,10.06,b0489 putative protease (ybbK) {Escherichia coli K12-MG1655},8.68,syc0280_d hypothetical protein {Synechococcus elongatus PCC 6301},6.94
P10912|GHR_HUMAN Growth hormone receptor precursor - Homo sapiens,Receptor,"Somatropin recombinant(DB00052), Pegvisomant(DB00082)",ENSMUSP00000069457|Growth hormone receptor precursor (GH receptor) (Somatotropin receptor) [Contains: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]. [Source:Uniprot/SWISSPROT;Acc:P16882],67.54,ENSGALP00000023927|Growth hormone receptor precursor (GH receptor) (Somatotropin receptor) [Contains: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]. [Source:Uniprot/SWISSPROT;Acc:Q02092],56.92,ENSXETP00000012238|Growth hormone receptor precursor (GH receptor) (Somatotropin receptor) [Contains: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]. [Source:Uniprot/SWISSPROT;Acc:P10912],44.29,gi|6180075|gb|AAF05775| 'growth hormone receptor [Xenopus laevis]',44.13,ENSGACP00000009079|Growth hormone receptor precursor (GH receptor) (Somatotropin receptor) [Contains: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]. [Source:Uniprot/SWISSPROT;Acc:P10912],29.68,ENSDARP00000071268|hypothetical protein LOC100001424 [Source:RefSeq_peptide;Acc:NP_001077047],30.84,"FBpp0072728 type=protein; loc=3L:complement(2040382..2040572,2040776..2041333,2041393..2041497,2041710..2042015,2042091..2043106,2043241..2043382,2043449..2045116,2045196..2046164,2046282..2046533,2046594..2046635,2046858..2047734,2047846..2051996,2052655..2061531,2062454..2069740,2070477..2075684,2076630..2076690,2076902..2077962,2078036..2078140,2078963..2079037,2079373..2079676,2079736..2079803,2080164..2081390,2081689..2087184,2091000..2091129,2091248..2092559,2092621..2092969,2093761..2093947,2094008..2094179,2094276..2094507,2094573..2094860,2094926..2100484,2100565..2103363,2103428..2104792,2104855..2105084,2105150..2106734,2114126..2114297); ID=FBpp0072728; name=sls-PC; parent=FBgn0086906,FBtr0072849; dbxref=FlyBase:FBpp0072728,FlyBase_Annotation_IDs:CG1915-PC,GB_protein:AAG22226.2,GB_protein:AAG22226,GB_protein:AAG22226; MD5=9a20fd4499533273568706584bf9816d; length=18141; release=r5.6; species=Dmel;",11.97,jgi|Dappu1|108154|fgenesh1_pg.C_scaffold_55000041,11.54,"ZK617.1a CE33017 WBGene00006759 locus:unc-22 Fibronectin type III domain (31 domains), IG (immunoglobulin) superfamily (18 domains), calcium\/calmodulin dependent protein kinase status:Partially_confirmed TR:Q23550 protein_id:CAA98081.2",10.25,AT3G63460.2 | Symbols:  | WD-40 repeat family protein | chr3:23441984-23448216 REVERSE,9.17,jgi|Chlre3|152142,10.12,DDB0252730 |Protein| gene: mdn1 on chromosome: 2 position 5613783 to 5632032,10.4,YDR251W|overexpression suppresses PP2A depletion,12.97,3721.m00078 TTHERM_00565600 Dynein heavy chain family protein,9.46,b0633 a minor lipoprotein (rlpA) {Escherichia coli K12-MG1655},8.78,syc1809_d hypothetical protein {Synechococcus elongatus PCC 6301},10.34
P10997|IAPP_HUMAN Islet amyloid polypeptide precursor - Homo sapiens,Other,Perindopril(DB00790),ENSMUSP00000043956|Islet amyloid polypeptide precursor (Amylin) (Diabetes-associated peptide) (DAP). [Source:Uniprot/SWISSPROT;Acc:P12968],65.22,ENSGALP00000021476|islet amyloid polypeptide [Source:RefSeq_peptide;Acc:NP_990728],42.96,"ENSXETP00000028750|1-acylglycerol-3-phosphate O-acyltransferase 4 (Lysophosphatidic acid acyltransferase, delta). [Source:Uniprot/SPTREMBL;Acc:Q5M8L4]",21.55,gi|32450610|gb|AAH54240| 'Enigma-prov protein [Xenopus laevis]',20.65,ENSGACP00000025213|Islet amyloid polypeptide precursor (Amylin) (Diabetes-associated peptide) (DAP) (Insulinoma amyloid peptide). [Source:Uniprot/SWISSPROT;Acc:P10997],50.56,"ENSDARP00000073567|calcitonin/calcitonin-related polypeptide, alpha [Source:RefSeq_peptide;Acc:NP_001002471]",23.53,"FBpp0087874 type=protein; loc=2R:complement(4155180..4155567,4155625..4155790,4155878..4155976,4156198..4156522,4156592..4156813); ID=FBpp0087874; name=CG30371-PA; parent=FBgn0050371,FBtr0088798; dbxref=FlyBase:FBpp0087874,FlyBase_Annotation_IDs:CG30371-PA,GB_protein:AAF59107.2,GB_protein:AAF59107; MD5=5c22bf5f321f4b692f299d85bfda8480; length=399; release=r5.6; species=Dmel;",15.83,jgi|Dappu1|113915|fgenesh1_pg.C_scaffold_119000024,14.94,C16C4.7 CE08203 WBGene00015831 status:Predicted TR:O16549 protein_id:AAB93653.1,18.33,AT5G04530.1 | Symbols:  | beta-ketoacyl-CoA synthase family protein | chr5:1292223-1293617 REVERSE,20.95,jgi|Chlre3|158096,10.56,DDB0220128 |Protein| gene: dafE on chromosome: 1 position 286362 to 287906,13.42,YDR420W|glucoamylase (predicted) (ISS),22.47,3699.m00286 TTHERM_00130060 hypothetical protein,19.78,b2304 putative sugar nucleotide epimerase {Escherichia coli K12-MG1655},16.8,syc1446_d unknown protein {Synechococcus elongatus PCC 6301},14.37
P11021|GRP78_HUMAN 78 kDa glucose-regulated protein precursor - Homo sapiens,Other,Antihemophilic Factor(DB00025),ENSMUSP00000097747|78 kDa glucose-regulated protein precursor (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP). [Source:Uniprot/SWISSPROT;Acc:P20029],98.62,ENSGALP00000001474|78 kDa glucose-regulated protein precursor (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP). [Source:Uniprot/SWISSPROT;Acc:Q90593],96.02,ENSXETP00000036704|78 kDa glucose-regulated protein precursor (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78). [Source:Uniprot/SWISSPROT;Acc:P11021],92.97,gi|27370850|gb|AAH41200| 'Hspa5 protein [Xenopus laevis]',93.27,ENSGACP00000021972|78 kDa glucose-regulated protein precursor (GRP 78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78). [Source:Uniprot/SWISSPROT;Acc:P11021],90.67,ENSDARP00000017456|heat shock 70kDa protein 5 [Source:RefSeq_peptide;Acc:NP_998223],90.67,"FBpp0073448 type=protein; loc=X:complement(11696646..11698491,11698930..11699054); ID=FBpp0073448; name=Hsc70-3-PC; parent=FBgn0001218,FBtr0073611; dbxref=FlyBase:FBpp0073448,FlyBase_Annotation_IDs:CG4147-PC,GB_protein:AAN09300.1,GB_protein:AAN09300; MD5=90cfc2d2c129e8a211bff4d9b740fb53; length=656; release=r5.6; species=Dmel;",80.18,jgi|Dappu1|304735|PASA_GEN_0300217,80.43,C15H9.6 CE08177 WBGene00002007 locus:hsp-3 heat shock protein status:Confirmed SW:P27420 protein_id:AAB52671.1,76.56,"AT5G42020.1 | Symbols: BIP2, BIP | BIP (LUMINAL BINDING PROTEIN); ATP binding | chr5:16824925-16827708 REVERSE",66.92,jgi|Chlre3|133859,66.87,DDB0233663 |Protein| gene: geneDDB0233663 on chromosome: 2 position 6970767 to 6972827,65.7,YJL034W|BiP homolog,65.34,14.m00361 TTHERM_00171850 dnak protein BiP,62.39,b0014 chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins (dnaK) {Escherichia coli K12-MG1655},46.37,syc1636_c DnaK protein (dnaK) {Synechococcus elongatus PCC 6301},47.52
P11047|LAMC1_HUMAN Laminin subunit gamma-1 precursor - Homo sapiens,Other,"Alteplase(DB00009), Reteplase(DB00015), Anistreplase(DB00029), Tenecteplase(DB00031)",ENSMUSP00000027752|Laminin subunit gamma-1 precursor (Laminin B2 chain). [Source:Uniprot/SWISSPROT;Acc:P02468],92.91,ENSGALP00000007343|Hypothetical protein. [Source:Uniprot/SPTREMBL;Acc:Q5ZIH4],81.12,ENSXETP00000027398|Laminin subunit gamma-1 precursor (Laminin B2 chain). [Source:Uniprot/SWISSPROT;Acc:P11047],74.24,gi|2655297|gb|AAB87983| 'netrin-1; axonal chemotropic factor [Xenopus laevis]',14.52,ENSGACP00000021011|Laminin subunit gamma-3 precursor (Laminin 12 gamma 3 subunit). [Source:Uniprot/SWISSPROT;Acc:Q9Y6N6],41.17,"ENSDARP00000024860|laminin, gamma 1 [Source:RefSeq_peptide;Acc:NP_775384]",68.37,"FBpp0076111 type=protein; loc=3L:join(9610347..9610541,9610879..9611012,9611076..9611203,9611270..9611884,9612401..9612812,9612879..9615464,9615523..9615859,9615917..9616217,9616279..9616490); ID=FBpp0076111; name=LanB2-PA; parent=FBgn0002528,FBtr0076382; dbxref=FlyBase:FBpp0076111,FlyBase_Annotation_IDs:CG3322-PA,GB_protein:AAF50238.1,GB_protein:AAF50238; MD5=1774e24ee266e878b7db0845823564fb; length=1639; release=r5.6; species=Dmel;",39.13,jgi|Dappu1|321711|NCBI_GNO_4200089,43.33,C54D1.5 CE30916 WBGene00016913 locus:lam-2 status:Partially_confirmed SW:Q18823 protein_id:AAC48152.2,37.13,AT5G41790.1 | Symbols: CIP1 | CIP1 (COP1-INTERACTIVE PROTEIN 1) | chr5:16744758-16749619 FORWARD,10.38,jgi|Chlre3|144736,11.87,DDB0217012 |Protein| gene: JC2V2_0_00641 on chromosome: 2 position 1603047 to 1608382,12.28,YLR309C|coiled-coil (predicted),8.44,3690.m00084 TTHERM_00268040 Viral A-type inclusion protein repeat containing protein,10.12,b3644 putative alpha helix protein (yicC) {Escherichia coli K12-MG1655},3.92,syc0531_d methyl-accepting chemotaxis protein {Synechococcus elongatus PCC 6301},8.58
P11137|MAP2_HUMAN Microtubule-associated protein 2 - Homo sapiens,Other,Estramustine(DB01196),ENSMUSP00000109646|Microtubule-associated protein 2 (MAP 2). [Source:Uniprot/SWISSPROT;Acc:P20357],79.83,ENSGALP00000004398|Microtubule-associated protein 2 (MAP 2) (MAP-2). [Source:Uniprot/SWISSPROT;Acc:P11137],57.59,ENSXETP00000003431|Microtubule-associated protein 2 (MAP 2) (MAP-2). [Source:Uniprot/SWISSPROT;Acc:P11137],18,gi|28302189|gb|AAH46689| 'A730034c02-prov protein [Xenopus laevis]',17.68,ENSGACP00000008715|Microtubule-associated protein 2 (MAP 2) (MAP-2). [Source:Uniprot/SWISSPROT;Acc:P11137],14.88,ENSDARP00000071825|hypothetical protein LOC555420 [Source:RefSeq_peptide;Acc:NP_001030139],11.16,"FBpp0084567 type=protein; loc=3R:complement(23467157..23467216,23469537..23469695,23470947..23471132,23471763..23471965,23472058..23472247,23473287..23473330,23481928..23482171); ID=FBpp0084567; name=tau-PA; parent=FBgn0051057,FBtr0085197; dbxref=FlyBase:FBpp0084567,FlyBase_Annotation_IDs:CG31057-PA,GB_protein:AAF56732.2,GB_protein:AAF56732; MD5=c283b8ac31c57997cec748acd107bed3; length=361; release=r5.6; species=Dmel;",5.31,jgi|Dappu1|230458|estExt_fgenesh1_kg.C_70022,4.38,F42G9.9a CE24967 WBGene00004212 locus:ptl-1 status:Confirmed TR:O02592 protein_id:AAK70645.1,6.08,No Hit,0,No Hit,0,No Hit,0,YHR187W|hypothetical protein,3.39,90.m00191 TTHERM_00633580 hypothetical protein,6.73,b0278 DNA-binding protein (yagL) {Escherichia coli K12-MG1655},2.52,syc0994_d unknown protein {Synechococcus elongatus PCC 6301},1.92
"P11166|GTR1_HUMAN Solute carrier family 2, facilitated glucose transporter member 1 - Homo sapiens",Transporter,Etomidate(DB00292),"ENSMUSP00000030398|Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (GT1). [Source:Uniprot/SWISSPROT;Acc:P17809]",97.15,"ENSGALP00000007795|Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1) (GLUT-1) (GT1). [Source:Uniprot/SWISSPROT;Acc:P46896]",87.8,"ENSXETP00000038295|Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter). [Source:Uniprot/SWISSPROT;Acc:P11166]",71.95,gi|118764079|gb|AAI28694| 'Slc2a14 protein [Xenopus laevis]',97.15,"ENSGACP00000006419|Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter). [Source:Uniprot/SWISSPROT;Acc:P11166]",77.37,"ENSDARP00000022579|solute carrier family 2, member 1 [Source:RefSeq_peptide;Acc:NP_001034897]",74.39,"FBpp0111824 type=protein; loc=3L:join(979794..979937,980054..980191,980951..981207,981296..981420,981487..981765,981826..982103,982175..982297,983855..984058,984137..984295); ID=FBpp0111824; name=Glut1-PF; parent=FBgn0025593,FBtr0112911; dbxref=FlyBase:FBpp0111824,FlyBase_Annotation_IDs:CG1086-PF,GB_protein:ABW08434; MD5=eac5d3bb17bcb2a443dfae2e4b577abe; length=568; release=r5.6; species=Dmel;",48.38,jgi|Dappu1|61492|e_gw1.101.52.1,46.96,R09B5.11 CE30296 WBGene00019979 sugar transporter status:Partially_confirmed TR:O44616 protein_id:AAB94218.2,34.81,"AT5G16150.3 | Symbols: PGLCT, GLT1 | GLT1/PGLCT (GLUCOSE TRANSPORTER 1); carbohydrate transmembrane transporter/ sugar:hydrogen ion symporter | chr5:5272907-5275681 FORWARD",29.41,jgi|Chlre3|196325,26.28,DDB0238519 |Protein| gene: geneDDB0238519 on chromosome: 3 position 577308 to 579437,26.49,YBR241C|hexose transporter (predicted),26.42,3836.m02296 TTHERM_00355070 Sugar transporter family protein,26.31,b4031 xylose-proton symport (xylE) {Escherichia coli K12-MG1655},25.29,syc1860_d glucose transport protein (glcP) {Synechococcus elongatus PCC 6301},15.66
"P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial precursor - Homo sapiens",Enzyme,"Pyruvic acid(DB00119), NADH(DB00157)","ENSMUSP00000022268|Pyruvate dehydrogenase E1 component subunit beta, mitochondrial precursor (EC 1.2.4.1) (PDHE1-B). [Source:Uniprot/SWISSPROT;Acc:Q9D051]",93.59,"ENSGALP00000011491|Pyruvate dehydrogenase E1 component subunit beta, mitochondrial precursor (EC 1.2.4.1) (PDHE1-B). [Source:Uniprot/SWISSPROT;Acc:P11177]",83.29,ENSXETP00000005298,25.82,gi|49256544|gb|AAH71117| 'PdhE1beta-1 protein [Xenopus laevis]',83.57,"ENSGACP00000005204|Pyruvate dehydrogenase E1 component subunit beta, mitochondrial precursor (EC 1.2.4.1) (PDHE1-B). [Source:Uniprot/SWISSPROT;Acc:P11177]",81.94,ENSDARP00000002122|pyruvate dehydrogenase (lipoamide) beta [Source:RefSeq_peptide;Acc:NP_998319],83.84,"FBpp0084738 type=protein; loc=3R:join(24938980..24939171,24939716..24939877,24940816..24941227,24941289..24941408,24941470..24941681); ID=FBpp0084738; name=CG11876-PD; parent=FBgn0039635,FBtr0085369; dbxref=FlyBase:FBpp0084738,FlyBase_Annotation_IDs:CG11876-PD,GB_protein:AAF56855.2,GB_protein:AAF56855; MD5=8762ea914d234be958c6ca8f8f6ffcef; length=365; release=r5.6; species=Dmel;",65.46,jgi|Dappu1|327265|NCBI_GNO_8800077,67.13,C04C3.3 CE27647 WBGene00015413 pyruvate dehydrogenase status:Confirmed SW:O44451 protein_id:AAB92024.2,63.23,AT5G50850.1 | Symbols: MAB1 | MAB1 (MACCI-BOU); pyruvate dehydrogenase (acetyl-transferring) | chr5:20706897-20710202 FORWARD,56.59,jgi|Chlre3|196469,58.5,DDB0229442 |Protein| gene: pdhB on chromosome: 2 position 6875032 to 6876597,59.05,YBR221C|pyruvate dehydrogenase,57.22,"3813.m01638 TTHERM_00784570 Transketolase, C-terminal domain containing protein",58.22,b0420 1-deoxyxylulose-5-phosphate synthase; flavoprotein (dxs) {Escherichia coli K12-MG1655},12.34,syc1362_d pyruvate dehydrogenase E1 component beta subunit (pdhB) {Synechococcus elongatus PCC 6301},41.5
"P11216|PYGB_HUMAN Glycogen phosphorylase, brain form - Homo sapiens",Enzyme,Pyridoxal Phosphate(DB00114),"ENSMUSP00000035743|Glycogen phosphorylase, brain form (EC 2.4.1.1). [Source:Uniprot/SWISSPROT;Acc:Q8CI94]",95.61,ENSGALP00000013845|hypothetical protein LOC421248 [Source:RefSeq_peptide;Acc:NP_001026205],90.06,"ENSXETP00000018496|Phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V). [Source:Uniprot/SPTREMBL;Acc:Q6NV69]",82.09,"gi|147902846|ref|NP_001080170| 'phosphorylase, glycogen; brain [Xenopus laevis]'",87.66,"ENSGACP00000001085|Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase). [Source:Uniprot/SWISSPROT;Acc:P11217]",80.43,"ENSDARP00000025885|phosphorylase, glycogen; brain [Source:RefSeq_peptide;Acc:NP_997974]",86.95,"FBpp0099923 type=protein; loc=2L:join(2131012..2131254,2134439..2134967,2135038..2136644,2136731..2136886); ID=FBpp0099923; name=GlyP-PB; parent=FBgn0004507,FBtr0100485; dbxref=FlyBase_Annotation_IDs:CG7254-PB,FlyBase:FBpp0099923,GB_protein:AAZ66442.1,GB_protein:AAZ66442; MD5=b6891c845712baff0128902f8a2e0909; length=844; release=r5.6; species=Dmel;",72,jgi|Dappu1|308519|PASA_GEN_0800187,72.48,T22F3.3a CE24003 WBGene00020696 status:Confirmed TR:Q9N5U1 protein_id:AAK72092.1,67.26,"AT3G46970.1 | Symbols: ATPHS2, PHS2 | ATPHS2/PHS2 (ALPHA-GLUCAN PHOSPHORYLASE 2); phosphorylase/ transferase, transferring glycosyl groups | chr3:17312610-17317096 REVERSE",44.55,jgi|Chlre3|137300,47.13,DDB0215010 |Protein| gene: glpV on chromosome: 3 position 4540912 to 4543611,47.59,YPR160W|glycogen phosphorylase,46.04,3830.m00613 TTHERM_00534080 glycogen/starch/alpha-glucan phosphorylases family protein,46.05,b3428 glycogen phosphorylase (glgP) [2.4.1.1] {Escherichia coli K12-MG1655},47.99,syc1269_d glycogen phosphorylase (glgP) {Synechococcus elongatus PCC 6301},49.17
"P11217|PYGM_HUMAN Glycogen phosphorylase, muscle form - Homo sapiens",Enzyme,Pyridoxal Phosphate(DB00114),"ENSMUSP00000047564|Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase). [Source:Uniprot/SWISSPROT;Acc:Q9WUB3]",97.03,ENSGALP00000031350|hypothetical protein LOC421248 [Source:RefSeq_peptide;Acc:NP_001026205],82.19,"ENSXETP00000035953|Glycogen phosphorylase, liver form (EC 2.4.1.1). [Source:Uniprot/SWISSPROT;Acc:P06737]",80.81,gi|125858814|gb|AAI29776| 'LOC100037229 protein [Xenopus laevis]',84.68,"ENSGACP00000001085|Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase). [Source:Uniprot/SWISSPROT;Acc:P11217]",83.02,ENSDARP00000072337|hypothetical protein LOC553655 [Source:RefSeq_peptide;Acc:NP_001018464],84.8,"FBpp0099923 type=protein; loc=2L:join(2131012..2131254,2134439..2134967,2135038..2136644,2136731..2136886); ID=FBpp0099923; name=GlyP-PB; parent=FBgn0004507,FBtr0100485; dbxref=FlyBase_Annotation_IDs:CG7254-PB,FlyBase:FBpp0099923,GB_protein:AAZ66442.1,GB_protein:AAZ66442; MD5=b6891c845712baff0128902f8a2e0909; length=844; release=r5.6; species=Dmel;",73.28,jgi|Dappu1|308519|PASA_GEN_0800187,74.94,T22F3.3a CE24003 WBGene00020696 status:Confirmed TR:Q9N5U1 protein_id:AAK72092.1,68.76,"AT3G46970.1 | Symbols: ATPHS2, PHS2 | ATPHS2/PHS2 (ALPHA-GLUCAN PHOSPHORYLASE 2); phosphorylase/ transferase, transferring glycosyl groups | chr3:17312610-17317096 REVERSE",45.18,jgi|Chlre3|137300,47.06,DDB0215010 |Protein| gene: glpV on chromosome: 3 position 4540912 to 4543611,46.35,YPR160W|glycogen phosphorylase,45.53,3830.m00613 TTHERM_00534080 glycogen/starch/alpha-glucan phosphorylases family protein,46.22,b3428 glycogen phosphorylase (glgP) [2.4.1.1] {Escherichia coli K12-MG1655},46.98,syc1269_d glycogen phosphorylase (glgP) {Synechococcus elongatus PCC 6301},50.77
